Name	Corona Temp. (K)	Wind Speed (km/s)
TOI-733 b	1433955.0	546.0
14 And b	1622297.0	899.0
HD 149026 b	2219627.0	473.0
18 Del b	4293878.0	1017.0
HD 67087 b	3271195.0	934.0
HD 67087 c	3271195.0	1059.0
HD 148164 b	2261030.0	926.0
HD 148164 c	2261030.0	1101.0
TOI-969 b	2310145.0	314.0
TOI-969 c	2310145.0	1019.0
TOI-2141 b	1110504.0	676.0
HD 55696 b	2153483.0	1041.0
HD 75898 b	1752118.0	945.0
HD 17156 b	1862342.0	706.0
HD 68402 b	2528869.0	1005.0
Kepler-1582 b	760666.0	385.0
HD 224538 b	2575531.0	1013.0
K2-146 b	1066032.0	277.0
K2-146 c	1066032.0	396.0
HD 13908 b	2021165.0	698.0
HD 13908 c	2021165.0	998.0
HD 1397 b	1511831.0	646.0
TOI-3785 b	841415.0	469.0
TOI-4860 b	1154001.0	215.0
LTT 9779 b	2442397.0	216.0
HD 332231 b	1508009.0	687.0
K2-167 b	1016275.0	616.0
TOI-1710 b	1486114.0	703.0
HD 4203 b	984052.0	943.0
HD 4203 c	930259.0	1111.0
HD 9174 b	906009.0	1006.0
HIP 75092 b	1549794.0	998.0
HAT-P-22 b	754043.0	460.0
TOI-1062 b	2097741.0	512.0
TOI-1062 c	2097741.0	594.0
HD 93963 A b	3225584.0	216.0
