Name	Corona Temp. (K)	Wind Speed (km/s)
K2-24 c	1329535.0	320.0
HD 147018 b	1111698.0	288.0
HD 164922 e	846943.0	234.0
HD 191939 d	875849.0	243.0
K2-32 d	938877.0	245.0
HD 191939 c	875849.0	231.0
K2-24 b	1329535.0	285.0
K2-32 c	938877.0	227.0
Kepler-67 b	3896639.0	610.0
TOI-421 c	759990.0	180.0
HD 164922 d	847999.0	182.0
K2-19 c	943515.0	199.0
TOI-561 c	585414.0	128.0
HD 191939 b	875849.0	179.0
TOI-1062 c	2097741.0	352.0
K2-32 b	938877.0	188.0
K2-19 b	943515.0	179.0
TOI-421 b	759990.0	128.0
TOI-1062 b	2097741.0	308.0
K2-32 e	938877.0	150.0
CoRoT-7 c	2608473.0	360.0
K2-19 d	943515.0	116.0
CoRoT-18 b	5553582.0	582.0
HATS-15 b	763555.0	90.0
CoRoT-7 b	2564942.0	242.0
TOI-561 b	585414.0	4.0
HD 142022 A b	1036126.0	407.0
TOI-157 b	705940.0	87.0
HD 100655 b	3883748.0	690.0
HD 154345 b	800394.0	370.0
WASP-47 d	1128882.0	206.0
K2-229 c	1223325.0	229.0
TOI-1173 b	899873.0	164.0
WASP-47 b	1128882.0	164.0
WASP-183 b	611139.0	92.0
WASP-47 e	1128882.0	142.0
K2-229 b	1223325.0	63.0
55 Cnc f	809509.0	291.0
HD 177565 b	1073359.0	278.0
55 Cnc c	809509.0	229.0
HD 95089 c	2840075.0	715.0
HD 18742 b	2389775.0	614.0
HD 95089 b	2318140.0	574.0
HD 99109 b	3812691.0	821.0
HD 45652 b	923005.0	251.0
TOI-4515 b	3488430.0	556.0
CoRoT-28 b	748384.0	118.0
tau Cet f	698689.0	294.0
tau Cet e	698689.0	254.0
tau Cet h	698689.0	214.0
tau Cet g	698689.0	179.0
HD 219077 b	888567.0	397.0
HD 30177 c	759191.0	379.0
55 Cnc d	1218648.0	480.0
WASP-8 c	1555200.0	542.0
HD 30177 b	2100477.0	629.0
HD 171238 b	999172.0	389.0
HD 111232 b	1281626.0	444.0
HD 165155 b	793495.0	299.0
HD 100777 b	1237240.0	392.0
K2-138 g	1938994.0	423.0
K2-138 f	1938994.0	356.0
WASP-8 b	1642784.0	257.0
K2-138 e	1938994.0	329.0
Kepler-447 b	2861112.0	434.0
K2-138 d	1938994.0	301.0
XO-5 b	942623.0	136.0
K2-138 c	1938994.0	273.0
WASP-44 b	810683.0	91.0
K2-138 b	1938994.0	242.0
TOI-132 b	1125358.0	108.0
WASP-77 A b	1124207.0	104.0
WASP-19 b	1117040.0	132.0
55 Cnc e	809509.0	149.0
EPIC 249893012 d	910202.0	236.0
EPIC 249893012 c	910202.0	201.0
EPIC 249893012 b	910202.0	122.0
HD 66428 c	1686818.0	599.0
HD 66428 b	1686818.0	547.0
HD 181234 b	1119842.0	465.0
HD 217107 c	1191324.0	466.0
HD 221585 b	1196555.0	419.0
HD 126614 b	1031910.0	391.0
HD 9174 b	906009.0	357.0
HD 200964 c	2006980.0	555.0
HD 200964 b	2006980.0	541.0
HD 212771 b	1303551.0	391.0
HD 28678 b	2889473.0	648.0
HD 192699 b	2830682.0	639.0
HD 175541 b	2732415.0	618.0
HD 217107 b	1196678.0	217.0
HD 11977 b	3973803.0	811.0
HD 167768 b	1296927.0	278.0
HD 173416 b	3135293.0	658.0
WASP-83 b	1358167.0	206.0
WASP-96 b	985191.0	130.0
HAT-P-27 b	1419860.0	195.0
WASP-104 b	1902724.0	205.0
WASP-4 b	1026713.0	92.0
HD 4208 b	1552762.0	490.0
TOI-5678 b	912355.0	253.0
NGTS-16 b	824902.0	121.0
K2-29 b	2042076.0	279.0
LTT 9779 b	2442397.0	237.0
HD 117207 b	1510862.0	516.0
HD 140901 c	1815627.0	634.0
HD 120084 b	4543288.0	936.0
HAT-P-51 b	954988.0	143.0
WASP-98 b	1932902.0	269.0
WASP-64 b	3523392.0	368.0
