Name,RA (J2000),DEC (J2000),Max. Frequency [MHz],Max. Flux Density [Jy],Max. Frequency Lower Uncertainty [MHz],Max. Frequency Upper Uncertainty [MHz],Max. Flux Density Lower Uncertainty [Jy],Max. Flux Density Upper Uncertainty [Jy]
TrES-1 b,19:04:10,+36:37:57,3.571065224489863,0.0004902248339537,1.276591619330981,1.8985443275895104,0.0002028254704833,0.00039794475668
HAT-P-3 b,13:44:23,+48:01:43,6.583076783302506,0.0004870027875437,2.8718962712873815,5.122395514505543,0.0002270841672241,0.0004491767055181
WASP-126 b,04:13:30,-69:13:36,0.75893528958704,0.0004862730893351,0.2437609098328294,0.4377873906230793,0.0002396601349519,0.0003998041801182
TOI-858 B b,04:00:48,-54:35:35,3.3211704653885525,0.0004724536959063,0.7136089373145191,0.9072835886430116,0.0001399665088161,0.0002450465994983
K2-29 b,04:10:41,+24:24:06,1.5957142083817646,0.0004542161333133,0.2333950409135159,0.2753812037356151,0.0001045408167756,0.0001521545416278
HD 142415 b,15:57:41,-60:12:03,0.979516722464041,0.0004518680441712,0.8939843360715527,51.36186300265712,0.0003390483899422,0.000732455432453
TOI-3714 b,04:38:13,+39:27:29,5.944595302982286,0.0004472988669859,1.103659478104074,1.3138119788884062,0.0001602452951192,0.000363137937608
WASP-41 b,12:42:29,-30:38:23,4.397036575099238,0.0004420363926127,1.4432694193409843,2.073356605246275,0.00013965238702,0.0002721366790937
HD 148427 b,16:28:28,-13:23:59,0.6875255148257294,0.0004262861954621,0.6323804515092133,44.731716555956055,0.00033042399773,0.0008049631278303
WASP-180 A b,08:13:34,-01:58:58,2.1342227358650776,0.0004129168456741,0.587778112080767,0.7371551841448376,0.0001155492673441,0.0001516733166723
HD 285968 b,04:42:56,+18:57:12,8.803556350065637,0.000403662227935,5.077743308297804,8.99269156384327,0.0002126570576083,0.0004630770380409
HD 89744 b,10:22:10,+41:13:44,1.191050451524957,0.0004020996500271,1.1087621740363751,73.39386686058211,0.0003056558577548,0.0006746927330598
TOI-1259 A b,18:48:24,+79:15:23,1.19904261177113,0.0003938347701969,0.3155620668338608,0.3941727503490506,8.507600154714366e-05,0.0001126618500588
HD 81040 b,09:23:47,+20:21:53,1.008521935709182,0.0003918764120087,0.941565622165644,64.20091358551001,0.000299917976651,0.000770155834633
HD 200964 b,21:06:40,+03:48:12,0.5238870988370199,0.0003864730940172,0.4854483688086258,33.19661504461145,0.0003105581227645,0.0009090540888868
WASP-70 A b,21:01:55,-13:26:00,1.0079105045630634,0.0003857732335425,0.3586128499151754,0.6051218780399132,0.0001216404466455,0.0001716450043219
GJ 832 b,21:33:34,-49:00:45,0.1728533027737466,0.0003778180361264,0.1629165229508619,11.868679018145624,0.0002961105795161,0.0008030708613776
HD 28678 b,04:31:25,+04:34:31,0.7901823350372467,0.0003593508540757,0.7303220294834847,39.70354654708622,0.0002845644988149,0.0010748049292306
Kepler-411 c,19:10:25,+49:31:24,8.605404650875574,0.0003499616216982,3.506165773869423,4.976453784409738,0.0001851917149448,0.0004932556238847
HD 200964 c,21:06:40,+03:48:12,0.3739353546116984,0.0003354925298532,0.3431171250528403,23.84986799027518,0.0002686419627524,0.000804677102847
HR 858 b,02:51:56,-30:48:51,9.992355884942429,0.0003354008895983,3.8128002392532,6.579049546700853,7.466059689294208e-05,9.443868433438323e-05
XO-1 b,16:02:12,+28:10:11,2.792763918244064,0.0003150303461165,1.0977878385449802,1.7797121438491046,0.0001290763864577,0.0003242439422718
HD 213885 c,22:35:56,-59:51:53,4.58322211020471,0.0003129025707111,3.0034982799291,11.058838812136353,0.0001795657889702,0.0003342694493843
HD 45184 b,06:24:44,-28:46:50,8.915548035827618,0.0003114834790425,5.869000561949522,10.700855959193111,0.0001660061490726,0.0003841753302005
XO-6 b,06:19:10,+73:49:39,3.4858889162150817,0.0003076368458788,1.8979026639841197,4.114638606571415,0.0001614469157082,0.0003306858966849
HD 27442 b,04:16:29,-59:18:10,0.4235822742651243,0.0003027285803916,0.3961478638851642,28.16328211966696,0.0002369459237551,0.0006074792099965
HD 142 A d,00:06:20,-49:04:31,0.8883554697707956,0.0002863141077539,0.7957044704135231,21.709541798307452,0.0002040891928944,0.0004139562360744
HD 108863 b,12:30:20,+21:56:53,0.8481691870982926,0.0002819680219709,0.7931368250139937,49.49521783229865,0.0002183224794008,0.0007045353818637
HD 160691 d,17:44:09,-51:50:06,7.985549469145857,0.0002555247510323,5.797305156491708,9.371899996826686,0.0001720992040723,0.0004898830187839
KELT-6 b,13:03:56,+30:38:25,0.3363990016270659,0.0002518176458129,0.0859735442986205,0.1945792279135567,0.0001065196385783,0.0001374105883759
HD 11755 b,01:58:50,+73:09:08,0.6649808282761871,0.000249069706425,0.6275961373746877,47.10695806801234,0.0001928456386746,0.0005158204454007
eps Ind A b,22:03:29,-56:47:49,0.1358058458429146,0.000246730461337,0.1320111410435426,19.59042507539411,0.000203880428306,0.0006788938095771
HD 52265 b,07:00:18,-05:22:01,1.0009197210286287,0.0002382675078267,0.9052651802504764,40.30764120544613,0.0001756773054761,0.0003763170168344
HD 29399 b,04:33:34,-62:49:26,0.3214911853423382,0.0002322950488463,0.30038872206062,23.64689859731027,0.0001819996046747,0.0004120970385502
HD 113538 b,13:04:56,-52:26:47,0.2641008523208205,0.0002262493393213,0.2354337389835747,7.875692445417649,0.0001674321470312,0.0004040700405812
HAT-P-27 b,14:51:04,+05:56:51,3.3958253606372955,0.000214936203884,1.1209931644822304,1.7452713155846509,8.691044443894167e-05,0.0001692053729132
WASP-29 b,23:51:31,-39:54:26,1.5599056544688106,0.0002122632836404,0.7992470648544469,1.6004006801613724,9.846758080818504e-05,0.000171521599288
HD 125612 c,14:20:53,-17:28:55,7.56759648378305,0.000208251068715,5.021515012849623,13.079183344238489,0.0001185256988214,0.0002593110533919
HD 112570 b,12:57:08,+46:10:36,0.3276042292545558,0.0002057566768248,0.3133413841869608,26.256047795087262,0.00016640928017,0.0005511595462361
GJ 317 b,08:40:59,-23:27:10,0.7035119896732775,0.0001980411367816,0.6605514349264917,46.33558509349604,0.0001519918160835,0.0003414821381108
WASP-166 b,09:39:30,-20:58:57,0.6575559441097275,0.0001976849326865,0.1568114711551826,0.2233247907044712,4.3546476339566416e-05,4.80188800169194e-05
TOI-6034 b,21:11:36,+68:24:07,5.237799244301761,0.0001958719308506,1.437421541712813,1.9877146401526744,7.200893418019935e-05,0.0001588486267303
