Name,Max. Frequency [MHz],Max. Flux Density [Jy],Max. Frequency Lower Uncertainty [MHz],Max. Frequency Upper Uncertainty [MHz],Max. Flux Density Lower Uncertainty [Jy],Max. Flux Density Upper Uncertainty [Jy]
HD 34445 b,0.208927895614906,2.4356634846329557e-05,0.1959999515679703,13.596683275988472,1.887996553073324e-05,4.4507905642755856e-05
HD 32963 b,0.3004186614665787,2.4087867922100758e-05,0.2869706025394123,26.381123905614988,1.950582555505893e-05,5.867939193275005e-05
HD 204313 b,0.3869019238528063,2.2880890065494325e-05,0.3676404872906195,37.30429386085925,1.828180497948131e-05,5.301235600464406e-05
HD 196067 b,0.3222507728582597,2.269908893072592e-05,0.3094519342749599,31.34005372399119,1.803956519361885e-05,5.1019791958400986e-05
HD 45350 b,0.3271239682710946,2.1953709456700403e-05,0.3105322187714335,26.47439668867949,1.7195387163601123e-05,4.590321645381887e-05
HD 89839 b,0.4972083634176611,2.1910893163290237e-05,0.4739969049082397,38.429510551915136,1.7325921460854916e-05,5.644070775014343e-05
HD 34445 c,0.4234029634304296,2.157280548924827e-05,0.3888642625739297,26.17474779622236,1.658742770299844e-05,3.763512349178109e-05
HD 133131 A b,0.2845866246241905,2.1369899933226245e-05,0.2670206017920268,22.133897058737062,1.6570930426156136e-05,4.086225160222794e-05
HD 196050 b,0.4142722064547151,2.0757451653246583e-05,0.3940054694909266,32.05498187192498,1.6104297687138815e-05,4.126649388667149e-05
TOI-4010 c,0.5877377033728927,2.0056190092734308e-05,0.1462904336770361,0.1818453561197378,5.659245603700859e-06,8.972652820105355e-06
HD 27631 b,0.288023840969603,1.9953207189987765e-05,0.2716418659737317,23.63520602585659,1.606651892369589e-05,4.527301344068161e-05
CoRoT-5 b,0.7132063214454849,1.9844815659471485e-05,0.1010054971931752,0.1143081278424219,4.130345351436094e-06,5.070126135361034e-06
HD 183263 b,0.3909189844615837,1.9733950034478748e-05,0.3690738739781216,34.45551043941889,1.5535655420509444e-05,3.840483930826103e-05
HD 65216 c,0.223791786251287,1.936339463305949e-05,0.2149366657836796,22.395657982168856,1.5772909482923394e-05,5.235674203393602e-05
HD 156668 c,0.4065444211296016,1.82552960764714e-05,0.3867939034556023,42.91643425712218,1.4919096999087008e-05,4.351219961090036e-05
HD 1605 c,0.3311597752676695,1.7683030030083346e-05,0.3175988004266885,29.42641595569413,1.402391712353597e-05,4.33673833623269e-05
HAT-P-11 c,0.2428901556448866,1.7410509399551946e-05,0.2327303750741089,24.194367612219075,1.411404545744442e-05,4.2809937281697e-05
HD 156279 c,0.2894845877318356,1.710217708704501e-05,0.2795978906544625,27.780730917253877,1.385107069178853e-05,4.856834812296223e-05
